county,fips_num,UIC
39001,1,4
39003,3,2
39005,5,3
39007,7,3
39009,9,3
39011,11,5
39013,13,2
39015,15,1
39017,17,1
39019,19,2
39021,21,3
39023,23,2
39025,25,1
39027,27,3
39029,29,3
39031,31,3
39033,33,3
39035,35,1
39037,37,5
39039,39,5
39041,41,1
39043,43,3
39045,45,1
39047,47,3
39049,49,1
39051,51,2
39053,53,5
39055,55,1
39057,57,2
39059,59,5
39061,61,1
39063,63,5
39065,65,6
39067,67,6
39069,69,6
39071,71,4
39073,73,1
39075,75,9
39077,77,3
39079,79,8
39081,81,2
39083,83,3
39085,85,1
39087,87,2
39089,89,1
39091,91,3
39093,93,1
39095,95,2
39097,97,1
39099,99,2
39101,101,3
39103,103,1
39105,105,6
39107,107,8
39109,109,2
39111,111,7
39113,113,2
39115,115,4
39117,117,1
39119,119,3
39121,121,10
39123,123,5
39125,125,6
39127,127,1
39129,129,1
39131,131,9
39133,133,2
39135,135,4
39137,137,6
39139,139,2
39141,141,3
39143,143,5
39145,145,5
39147,147,5
39149,149,5
39151,151,2
39153,153,2
39155,155,2
39157,157,5
39159,159,1
39161,161,5
39163,163,4
39165,165,1
39167,167,5
39169,169,3
39171,171,6
39173,173,2
39175,175,9
