county,num_dept,num_officer,budget
39001,6,34,2392667
39003,12,214,22442273
39005,4,80,7641552
39007,10,127,13243321
39009,9,99,9400830
39011,7,88,8349491
39013,11,107,7756699
39015,7,40,4431564
39017,14,781,87977982
39019,3,18,499982
39021,4,49,4594745
39023,10,256,27894992
39025,13,253,37499777
39027,4,75,7381606
39029,13,113,10484555
39031,2,54,3092410
39033,4,53,8596550
39035,64,3802,514395633
39037,6,80,6966018
39039,3,54,5339555
39041,8,199,27331600
39043,12,115,21404087
39045,8,201,22692205
39047,2,13,5004764
39049,36,5298,848360562
39051,6,60,4847178
39053,3,30,2890000
39055,10,124,16834612
39057,13,322,39458725
39059,3,46,4568742
39061,42,2095,311570528
39063,3,111,13683797
39065,4,48,3789162
39067,4,20,1146000
39069,6,37,3392000
39071,5,67,4706878
39073,3,34,3217799
39075,2,43,3124045
39077,8,76,10519950
39079,5,37,5145000
39081,13,92,9824289
39083,4,86,6715367
39085,20,413,62178085
39087,6,53,5031035
39089,12,310,33854803
39091,5,61,8293509
39093,15,440,65500033
39095,16,1223,73550111
39097,5,73,5873442
39099,21,700,69697888
39101,2,93,9012943
39103,13,224,30840089
39105,7,118,13333956
39107,6,59,4220049
39109,7,159,21963116
39111,2,22,1292843
39113,29,1308,180536503
39115,2,14,990000
39117,3,29,2621618
39119,7,147,13380023
39121,2,9,587991
39123,12,105,10748462
39125,5,19,2186800
39127,7,29,2126895
39129,5,67,8409991
39131,3,26,2886635
39133,12,241,32411036
39135,6,42,6344000
39137,8,41,4745310
39139,8,207,21991421
39141,2,133,12605560
39143,7,66,11703500
39145,3,94,8588479
39147,8,71,11693500
39149,7,80,10507550
39151,23,563,47145544
39153,27,1412,158616982
39155,22,266,39465822
39157,15,112,11431500
39159,3,81,10072460
39161,2,42,5000000
39163,2,14,199991
39165,12,260,30733544
39167,4,91,12505690
39169,13,134,16592608
39171,8,65,4561389
39173,16,267,29082019
39175,5,46,5931326
